Time	Participant	Block	Trial	ObjectCount	VVChange	CompletionTime	Error	Practice
Thu Feb 15 12:01:15 CET 2018	2	1 	0 	36 	VV1VV2 	5123	0	Practice 
Thu Feb 15 12:01:18 CET 2018	2	1 	1 	36 	VV2 	1071	0	Practice 
Thu Feb 15 12:01:21 CET 2018	2	1 	2 	36 	VV2 	711	0	Practice 
Thu Feb 15 12:01:25 CET 2018	2	1 	3 	36 	VV1VV2 	2423	0	Practice 
Thu Feb 15 12:01:27 CET 2018	2	1 	4 	36 	VV1 	704	0	Practice 
Thu Feb 15 12:01:29 CET 2018	2	1 	5 	36 	VV2 	768	0	Practice 
Thu Feb 15 12:01:32 CET 2018	2	1 	6 	36 	VV2 	617	0	Practice 
Thu Feb 15 12:01:34 CET 2018	2	1 	7 	36 	VV1 	584	0	Practice 
Thu Feb 15 12:01:36 CET 2018	2	1 	8 	36 	VV1 	737	0	Practice 
Thu Feb 15 12:01:45 CET 2018	2	1 	9 	36 	VV1VV2 	6719	0	Practice 
Thu Feb 15 12:01:48 CET 2018	2	1 	10 	36 	VV1 	840	0	Practice 
Thu Feb 15 12:01:53 CET 2018	2	1 	11 	36 	VV1VV2 	3946	0	Practice 
Thu Feb 15 12:01:55 CET 2018	2	1 	12 	36 	VV2 	856	0	Practice 
Thu Feb 15 12:01:58 CET 2018	2	1 	13 	36 	VV1 	840	0	Practice 
Thu Feb 15 12:02:02 CET 2018	2	1 	14 	36 	VV1VV2 	2344	0	Practice 
Thu Feb 15 12:02:27 CET 2018	2	2 	0 	9 	VV1VV2 	2333	1	Practice 
Thu Feb 15 12:02:29 CET 2018	2	2 	1 	9 	VV2 	712	0	Practice 
Thu Feb 15 12:02:31 CET 2018	2	2 	2 	9 	VV1 	608	0	Practice 
Thu Feb 15 12:02:36 CET 2018	2	2 	3 	9 	VV1VV2 	3705	0	Practice 
Thu Feb 15 12:02:38 CET 2018	2	2 	4 	9 	VV2 	904	0	Practice 
Thu Feb 15 12:02:41 CET 2018	2	2 	5 	9 	VV1VV2 	2528	0	Practice 
Thu Feb 15 12:02:44 CET 2018	2	2 	6 	9 	VV1 	656	0	Practice 
Thu Feb 15 12:02:46 CET 2018	2	2 	7 	9 	VV1 	776	0	Practice 
Thu Feb 15 12:02:54 CET 2018	2	2 	8 	9 	VV1VV2 	5431	0	Practice 
Thu Feb 15 12:02:56 CET 2018	2	2 	9 	9 	VV2 	664	0	Practice 
Thu Feb 15 12:02:59 CET 2018	2	2 	10 	9 	VV1VV2 	1736	0	Practice 
Thu Feb 15 12:03:01 CET 2018	2	2 	11 	9 	VV1 	1080	0	Practice 
Thu Feb 15 12:03:03 CET 2018	2	2 	12 	9 	VV2 	672	0	Practice 
Thu Feb 15 12:03:05 CET 2018	2	2 	13 	9 	VV1 	704	0	Practice 
Thu Feb 15 12:03:07 CET 2018	2	2 	14 	9 	VV2 	1039	0	Practice 
Thu Feb 15 12:03:12 CET 2018	2	3 	0 	16 	VV1VV2 	2975	0	Practice 
Thu Feb 15 12:03:16 CET 2018	2	3 	1 	16 	VV1VV2 	2592	0	Practice 
Thu Feb 15 12:03:21 CET 2018	2	3 	2 	16 	VV2 	872	0	Practice 
Thu Feb 15 12:03:23 CET 2018	2	3 	3 	16 	VV1 	536	0	Practice 
Thu Feb 15 12:03:26 CET 2018	2	3 	4 	16 	VV1VV2 	1760	0	Practice 
Thu Feb 15 12:03:28 CET 2018	2	3 	5 	16 	VV1 	520	0	Practice 
Thu Feb 15 12:03:30 CET 2018	2	3 	6 	16 	VV2 	616	0	Practice 
Thu Feb 15 12:03:33 CET 2018	2	3 	7 	16 	VV1 	1872	0	Practice 
Thu Feb 15 12:03:37 CET 2018	2	3 	8 	16 	VV2 	1287	0	Practice 
Thu Feb 15 12:03:43 CET 2018	2	3 	9 	16 	VV1VV2 	4580	0	Practice 
Thu Feb 15 12:03:45 CET 2018	2	3 	10 	16 	VV2 	784	0	Practice 
Thu Feb 15 12:03:47 CET 2018	2	3 	11 	16 	VV2 	552	0	Practice 
Thu Feb 15 12:03:50 CET 2018	2	3 	12 	16 	VV1VV2 	2008	0	Practice 
Thu Feb 15 12:03:53 CET 2018	2	3 	13 	16 	VV1 	624	0	Practice 
Thu Feb 15 12:03:55 CET 2018	2	3 	14 	16 	VV1 	529	0	Practice 
